    NM,   NI, NTF, NFC, NFQ,  AP,  CP,  P1,  P2,  P3,  EE,  AG, NTI, NDC, CN
999999,52100,   7,   1,   5, 137, 532,   4,   1,   1,   1, 120,   9,   4, 8245
999999,52101,   7,   1,   5, 120, 553,   4,   1,   1,   2, 110,   8,   4, 7754
999999,52102,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 383659
999999,52103,   6,   1,   4, 130, 462,   1,   3,   1,   1, 138,   9,   3, 384
999999,52104,   8,   2,   5, 139, 485,   4,   1,   3,   0, 138,   7,   4, 7954
999999,52105,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 200753
999999,52106,   7,   1,   5, 123, 550,   4,   1,   1,   1, 112,   9,   6, 929384
999999,52107,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 617765
999999,52108,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 461113
999999,52109,   6,   2,   3, 149, 558,   1,   1,   2,   1, 112,   9,   4, 2468
999999,52110,   8,   3,   4, 121, 454,   1,   2,   4,   1, 141,   7,   3, 283
999999,52111,  10,   3,   6, 149, 543,   2,   4,   4,   1, 115,   6,   6, 197945
999999,52112,   6,   3,   2, 141, 482,   1,   0,   4,   1, 145,   7,   4, 3189
999999,52113,   6,   0,   5, 143, 507,   4,   1,   0,   0, 123,   7,   4, 9581
999999,52114,   8,   2,   5, 136, 444,   2,   2,   2,   0, 145,   7,   4, 8153
999999,52115,   7,   1,   5, 149, 523,   2,   3,   1,   2, 122,   6,   3, 873
999999,52116,   3,   1,   1, 123, 515,   0,   0,   1,   2, 120,   8,   4, 1458
999999,52117,   7,   2,   4, 121, 536,   3,   1,   2,   1, 112,   8,   4, 1207
999999,52118,   7,   1,   5, 147, 551,   3,   2,   1,   2, 113,   7,   4, 1620
999999,52119,   6,   1,   4, 142, 506,   3,   1,   1,   2, 141,   7,   4, 5739
999999,52120,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 933667
999999,52121,   6,   1,   4, 147, 494,   2,   1,   1,   0, 133,   8,   4, 8555
999999,52122,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 503713
999999,52123,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 503320
999999,52124,   5,   2,   2,   0, 523,   0,   1,   2,   2, 129,   7,   5, 96359
999999,52125,   5,   1,   3,   0, 540,   0,   3,   1,   0, 112,   9,   3, 223
999999,52126,   7,   2,   4, 135, 478,   2,   1,   3,   1, 147,   8,   5, 49255
999999,52127,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 501022
999999,52128,   5,   1,   3, 121, 558,   1,   1,   1,   1, 112,  10,   6, 406215
999999,52129,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 338646
999999,52130,   7,   2,   4, 144, 516,   2,   1,   2,   0, 118,   7,   6, 456615
999999,52131,   8,   2,   5, 140, 499,   4,   1,   2,   1, 127,   6,   4, 6827
999999,52132,   3,   1,   1, 144, 556,   0,   0,   1,   0, 115,  10,   4, 3095
999999,52133,   8,   1,   6, 127, 532,   3,   4,   1,   1, 121,   8,   5, 37380
999999,52134,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 408833
999999,52135,   7,   1,   5, 127, 518,   2,   2,   1,   2, 117,   6,   5, 66862
999999,52136,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 797619
999999,52137,   7,   2,   4, 125, 519,   2,   1,   3,   1, 121,   7,   6, 656154
999999,52138,   5,   1,   3, 144, 504,   2,   0,   1,   0, 118,   8,   3, 525
999999,52139,   6,   1,   4, 149, 477,   3,   1,   1,   0, 133,   9,   6, 831133
999999,52140,   7,   2,   4, 137, 489,   3,   1,   3,   1, 138,   7,   3, 641
999999,52141,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 200560
999999,52142,   6,   2,   3,   0, 556,   1,   1,   2,   1, 119,   9,   3, 582
999999,52143,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 434846
999999,52144,   5,   1,   3, 132, 510,   1,   1,   1,   1, 125,   8,   6, 214082
999999,52145,   4,   0,   3, 121, 524,   0,   3,   0,   0, 132,   8,   5, 38243
999999,52146,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 518172
999999,52147,   4,   1,   2, 142, 496,   1,   0,   1,   0, 127,   8,   5, 36384
999999,52148,   9,   2,   6, 145, 536,   3,   4,   2,   1, 118,   7,   5, 33573
999999,52149,   5,   1,   3,   0, 527,   1,   1,   1,   1, 133,  10,   5, 59651
999999,52150,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 745154
999999,52151,   6,   2,   3, 129, 537,   1,   1,   2,   0, 122,   8,   5, 40557
999999,52152,   6,   2,   3, 140, 522,   2,   0,   2,   2, 125,   6,   5, 37262
999999,52153,   8,   1,   6, 125, 517,   4,   2,   1,   1, 119,   7,   6, 303975
999999,52154,   9,   2,   6, 136, 503,   4,   2,   2,   0, 128,   5,   5, 62453
999999,52155,   5,   1,   3, 132, 479,   1,   1,   1,   0, 128,   9,   4, 5312
999999,52156,   8,   2,   5,   0, 533,   4,   1,   3,   2, 111,   7,   4, 3550
999999,52157,   7,   2,   4, 143, 470,   1,   2,   2,   1, 147,   8,   4, 7452
999999,52158,   4,   1,   2, 137, 481,   0,   1,   1,   2, 131,   7,   6, 918176
999999,52159,   6,   2,   3, 140, 571,   1,   1,   3,   2, 112,   8,   4, 3046
999999,52160,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 248525
999999,52161,   6,   1,   4,   0, 509,   4,   0,   1,   0, 125,   7,   4, 7205
999999,52162,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 675080
999999,52163,   6,   1,   4,   0, 535,   1,   3,   1,   1, 129,   8,   6, 627968
999999,52164,   7,   2,   4, 131, 519,   3,   1,   2,   0, 125,   6,   4, 3318
999999,52165,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 547741
999999,52166,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 313652
999999,52167,   8,   2,   5, 127, 456,   3,   3,   3,   1, 147,   7,   6, 108558
999999,52168,   6,   2,   3, 133, 512,   0,   2,   2,   2, 115,   6,   5, 36664
999999,52169,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 895409
999999,52170,   6,   2,   3, 140, 465,   1,   1,   3,   1, 137,   9,   4, 5726
999999,52171,   5,   1,   3, 135, 544,   0,   2,   1,   1, 120,   9,   4, 1231
999999,52172,   5,   0,   4, 136, 460,   1,   3,   0,   2, 145,   8,   6, 998422
999999,52173,   9,   2,   6, 126, 541,   3,   4,   3,   2, 123,   5,   3, 252
999999,52174,   6,   1,   4, 132, 522,   0,   4,   1,   0, 125,   8,   4, 6389
999999,52175,   9,   2,   6, 141, 567,   3,   4,   2,   1, 113,   7,   5, 35421
999999,52176,   7,   0,   6, 150, 511,   4,   3,   0,   0, 119,   7,   5, 34415
999999,52177,   7,   1,   5, 138, 539,   4,   1,   1,   1, 125,   8,   3, 278
999999,52178,   4,   1,   2, 134, 534,   1,   0,   1,   1, 122,   9,   5, 52449
999999,52179,   7,   2,   4, 145, 452,   3,   1,   2,   0, 145,   8,   4, 4698
999999,52180,  11,   3,   7,  90, 500,   4,   4,   4,   2, 127,   0,   6, 515288
